Gene	mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G27750	30	65	151	49	46	130
AT1G27752	146	118	175	147	59	296
AT1G27760	79	99	151	178	178	245
AT1G27770	85	44	78	64	53	73
AT1G27820	0	4	0	0	0	0
AT1G27840	11	14	43	28	5	50
AT1G27850	28	24	30	27	36	40
AT1G27860	0	0	1	0	0	0
AT1G27870	0	0	0	0	4	0
AT1G27880	3	6	12	5	7	5
AT1G27900	23	40	34	28	15	31
AT1G27910	27	30	47	43	33	55
AT1G27920	8	27	20	6	14	21
AT1G27921	10	1	1	0	3	6
AT1G27930	57	51	90	131	76	157
AT1G27940	4	5	8	2	0	4
AT1G27950	309	427	953	242	109	657
AT1G27960	1	23	14	10	14	5
AT1G27970	490	369	851	753	489	1473
AT1G27980	54	44	50	109	38	103
AT1G27990	0	5	0	0	1	0
AT1G28000	0	8	4	5	2	2
AT1G28002	0	2	0	0	5	0
AT1G28010	31	48	36	43	29	26
AT1G28030	0	0	0	4	0	0
AT1G28040	0	0	5	2	0	1
AT1G28050	213	239	333	492	121	558
AT1G28060	201	305	173	237	76	242
AT1G28070	4	10	12	3	13	12
AT1G28080	0	0	1	0	1	0
AT1G28090	19	24	33	20	10	41
AT1G28100	8	12	23	17	4	15
AT1G28110	33	14	13	1	10	9
AT1G28120	48	41	74	52	22	78
AT1G28130	3	1	0	1	1	0
AT1G28135	4	3	6	0	4	4
AT1G28140	170	158	144	88	60	117
AT1G28150	129	93	319	90	57	211
AT1G28160	0	0	0	0	1	0
AT1G28170	0	3	0	0	6	0
AT1G28180	0	3	0	1	3	3
AT1G28190	280	248	107	559	311	359
AT1G28200	126	100	512	151	75	778
AT1G28210	11	13	24	28	17	38
AT1G28230	74	43	233	87	75	333
AT1G28240	113	176	208	131	165	231
AT1G28250	33	48	96	61	34	112
AT1G28260	23	22	40	10	8	29
AT1G28270	0	22	2	7	24	3
AT1G28280	172	153	297	375	230	502
AT1G28281	0	0	2	0	0	1
AT1G28290	13	29	26	25	23	11
AT1G28300	0	10	1	0	9	1
AT1G28304	0	0	0	0	2	0
AT1G28305	0	2	0	1	0	0
AT1G28310	16	35	49	32	27	40
AT1G28320	112	55	142	77	35	134
AT1G28330	311	285	701	178	87	635
AT1G28340	61	43	92	58	20	136
AT1G28350	16	39	54	53	18	112
AT1G28360	1	13	15	7	0	22
AT1G28370	29	31	26	44	52	110
AT1G28375	0	0	0	5	2	0
AT1G28380	112	81	238	253	166	633
AT1G28390	15	37	13	50	23	54
AT1G28395	13	27	47	19	22	61
AT1G28400	58	117	228	106	63	181
AT1G28410	15	4	19	31	5	27
AT1G28420	113	112	119	171	69	162
AT1G28430	0	0	0	0	1	0
AT1G28440	65	47	122	49	13	87
AT1G28450	0	0	1	0	0	0
AT1G28455	0	0	0	0	4	0
AT1G28460	0	0	0	0	1	0
AT1G28470	0	3	0	0	5	1
AT1G28480	379	233	239	661	213	1319
AT1G28490	64	110	61	72	49	103
AT1G28510	41	58	61	33	25	89
AT1G28520	65	58	50	74	44	67
AT1G28530	8	14	21	1	6	8
AT1G28540	13	10	56	18	18	36
AT1G28560	4	9	6	2	3	2
AT1G28570	12	17	39	24	16	19
AT1G28580	62	94	173	143	52	207
AT1G28590	0	3	0	0	3	0
AT1G28600	141	133	198	115	131	191
AT1G28610	77	42	104	46	13	31
AT1G28620	7	12	10	3	3	3
AT1G28630	0	5	0	0	12	0
AT1G28640	0	6	0	0	1	0
AT1G28650	0	3	0	0	0	0
AT1G28660	9	20	11	10	5	5
AT1G28670	15	20	35	6	11	9
AT1G28680	14	10	10	16	23	15
AT1G28685	0	2	0	0	1	0
AT1G28690	2	0	2	0	5	0
AT1G28695	0	4	0	0	1	1
AT1G28700	1	16	0	2	16	1
AT1G28710	0	4	10	2	3	11
AT1G28760	3	7	2	9	0	9
AT1G28815	0	9	2	0	0	1
AT1G28960	85	87	39	63	46	47
AT1G29000	0	0	0	0	2	0
AT1G29010	0	3	0	2	16	0
AT1G29030	5	12	35	10	5	36
AT1G29040	44	36	94	52	59	139
AT1G29050	0	4	13	12	4	15
AT1G29060	8	17	142	44	28	193
AT1G29070	152	164	299	103	49	141
AT1G29071	0	0	0	8	0	0
AT1G29075	0	0	0	1	0	0
AT1G29090	8	9	5	5	6	23
AT1G29120	41	33	90	57	28	111
AT1G29140	3	15	0	1	3	3
AT1G29150	220	168	455	264	158	635
AT1G29160	3	4	42	6	13	33
AT1G29170	12	22	26	21	7	19
AT1G29195	3	4	5	15	6	15
AT1G29200	0	0	0	0	3	0
AT1G29220	74	45	49	55	37	66
AT1G29230	2	0	3	6	3	5
AT1G29240	17	11	54	14	2	24
AT1G29250	48	55	116	65	37	125
AT1G29260	58	40	39	44	18	65
AT1G29270	0	10	0	0	15	0
AT1G29280	6	6	6	17	1	6
AT1G29290	3	11	0	1	23	7
AT1G29300	7	28	9	32	5	15
AT1G29310	48	47	113	128	88	219
AT1G29320	10	15	30	5	12	44
AT1G29330	12	8	11	49	13	36
AT1G29340	121	83	96	126	91	167
AT1G29350	7	0	7	11	7	16
AT1G29357	24	17	45	30	26	20
AT1G29360	0	0	0	0	1	0
AT1G29370	1	1	3	3	0	8
AT1G29380	0	26	21	12	8	27
AT1G29390	120	78	110	68	40	53
AT1G29395	785	550	1027	505	181	364
AT1G29400	148	159	271	148	104	292
AT1G29410	2	1	2	2	8	3
AT1G29418	0	9	3	0	8	4
AT1G29420	1	0	0	0	0	0
AT1G29430	0	6	7	3	0	1
AT1G29440	3	2	0	0	0	1
AT1G29450	8	0	1	6	1	0
AT1G29460	21	6	11	5	3	0
AT1G29465	1	0	6	3	2	0
AT1G29470	254	220	431	251	188	482
AT1G29475	0	0	0	5	0	0
AT1G29500	3	2	2	1	2	0
AT1G29510	0	6	2	0	0	0
AT1G29520	20	23	18	21	13	11
AT1G29530	27	27	34	13	3	12
AT1G29540	0	0	1	0	0	1
AT1G29550	15	6	15	2	1	12
AT1G29560	0	7	0	3	10	2
AT1G29570	0	1	0	0	0	0
AT1G29590	7	5	4	10	0	3
AT1G29600	8	11	7	17	1	6
AT1G29610	0	0	1	0	1	0
AT1G29620	0	6	0	0	0	0
AT1G29630	2	1	5	3	1	9
AT1G29640	6	24	6	7	18	10
AT1G29650	0	4	1	0	1	1
AT1G29660	134	148	215	28	18	31
AT1G29670	364	395	817	374	195	675
AT1G29680	0	1	0	0	5	0
AT1G29690	74	38	102	104	78	255
AT1G29700	100	110	114	47	25	61
AT1G29710	10	2	6	6	10	4
AT1G29715	0	1	8	1	2	14
AT1G29720	37	51	79	14	6	70
AT1G29724	0	0	13	1	1	9
AT1G29730	6	8	9	0	0	10
AT1G29740	0	0	0	0	0	5
AT1G29750	62	23	47	84	60	127
AT1G29760	22	5	22	25	26	32
AT1G29770	0	3	3	3	3	3
AT1G29780	0	0	3	0	1	2
AT1G29785	14	18	23	9	6	16
AT1G29790	129	185	206	84	56	183
AT1G29800	21	26	30	12	12	15
AT1G29810	6	17	30	4	6	24
AT1G29820	18	13	27	21	4	35
AT1G29830	0	1	1	1	1	0
AT1G29840	10	5	14	3	3	6
AT1G29850	248	234	162	246	157	203
AT1G29860	0	2	0	0	0	1
AT1G29870	0	4	0	0	0	0
AT1G29880	110	116	285	149	105	391
AT1G29890	43	46	105	69	35	145
AT1G29900	91	60	273	81	64	330
AT1G29910	2069	1861	4492	1049	346	1720
AT1G29920	3548	2349	6453	1134	896	4596
AT1G29930	11752	9047	58247	7952	3066	32731
AT1G29940	27	32	68	64	30	115
AT1G29950	4	9	20	16	14	18
AT1G29960	4	3	6	2	6	3
AT1G29962	0	2	0	0	0	0
AT1G29965	5	7	23	23	5	87
AT1G29970	72	31	280	116	52	386
AT1G29980	12	16	26	5	1	4
AT1G29990	39	41	30	27	26	25
AT1G30000	25	19	74	55	45	76
AT1G30010	2	12	25	3	17	25
AT1G30030	0	4	0	3	0	0
AT1G30040	8	28	19	15	7	22
AT1G30050	2	11	0	0	3	0
AT1G30060	1	0	0	0	0	0
AT1G30070	36	13	37	40	31	70
AT1G30080	0	4	0	0	5	0
AT1G30090	33	63	40	40	14	36
AT1G30100	2	9	2	2	1	0
AT1G30110	0	33	4	32	37	24
AT1G30120	100	84	199	137	40	165
AT1G30130	48	34	71	47	22	75
AT1G30135	6	12	6	71	64	70
AT1G30140	0	0	0	4	1	0
AT1G30150	0	4	0	0	0	0
AT1G30160	0	2	10	5	1	11
AT1G30170	0	9	1	0	1	0
AT1G30180	0	8	0	0	0	0
AT1G30190	0	0	10	6	10	1
AT1G30200	100	101	152	158	90	187
AT1G30210	55	85	127	82	50	93
AT1G30220	7	0	2	1	3	4
AT1G30230	279	243	353	312	196	452
AT1G30240	3	18	64	33	30	72
AT1G30250	94	80	294	48	27	137
AT1G30260	61	84	118	57	78	84
AT1G30270	45	45	78	108	53	113
AT1G30280	0	6	4	4	0	4
AT1G30282	0	2	0	0	0	0
AT1G30290	3	13	9	4	6	14
AT1G30300	20	9	18	12	10	34
AT1G30310	0	1	0	0	0	0
AT1G30320	112	99	108	225	100	303
AT1G30330	46	125	194	79	74	183
AT1G30340	0	3	0	0	1	0
AT1G30360	1439	1145	3487	1381	841	3268
AT1G30370	2	12	2	1	22	14
AT1G30380	2219	2090	3546	1604	809	2172
AT1G30390	0	0	2	0	1	0
AT1G30400	135	124	197	151	68	205
AT1G30410	21	86	79	79	62	140
AT1G30420	4	15	12	23	10	42
AT1G30440	34	36	43	33	17	28
AT1G30450	15	22	41	42	21	49
AT1G30455	0	3	0	0	0	0
AT1G30460	30	43	30	45	18	65
AT1G30470	52	41	74	69	43	100
AT1G30475	3	14	8	1	10	28
AT1G30480	137	116	135	110	45	164
AT1G30490	46	35	41	35	29	64
AT1G30500	32	6	36	13	17	18
AT1G30510	6	12	16	25	3	22
AT1G30515	0	1	0	0	0	0
AT1G30520	27	22	32	11	7	25
AT1G30530	32	20	223	25	14	82
AT1G30540	5	26	37	25	12	47
AT1G30550	2	9	9	7	0	11
AT1G30560	0	4	0	0	5	0
AT1G30570	18	26	21	5	5	9
AT1G30580	159	206	414	217	168	410
AT1G30590	29	54	44	16	13	40
AT1G30600	1	6	6	8	7	6
AT1G30610	57	33	41	21	9	35
AT1G30620	5	28	24	80	50	101
AT1G30630	142	144	160	146	104	315
AT1G30640	22	25	30	62	27	64
AT1G30650	0	3	1	11	2	2
AT1G30670	0	4	0	0	3	0
AT1G30680	11	42	83	56	26	66
AT1G30690	30	65	49	55	17	57
AT1G30700	38	31	11	362	417	360
AT1G30710	3	0	0	1	0	0
AT1G30720	48	29	30	320	285	963
AT1G30730	28	13	22	164	154	386
AT1G30740	0	2	0	0	0	3
AT1G30750	0	5	0	3	8	0
AT1G30755	47	38	55	181	173	307
AT1G30757	3	5	4	30	32	15
AT1G30760	5	4	2	4	2	7
AT1G30780	0	0	0	0	1	0
AT1G30790	0	0	0	2	1	0
AT1G30795	0	5	0	0	0	0
AT1G30810	23	64	53	39	56	58
AT1G30814	0	2	0	0	1	0
AT1G30820	39	17	40	25	36	35
AT1G30825	9	5	13	21	10	17
AT1G30835	12	45	81	31	46	74
AT1G30840	5	32	13	7	9	11
AT1G30845	4	5	4	6	2	7
AT1G30850	0	0	0	1	4	14
AT1G30860	12	7	7	15	3	9
AT1G30880	65	73	110	84	66	216
AT1G30890	17	13	28	46	36	40
AT1G30900	38	15	40	118	45	154
AT1G30910	60	27	87	29	11	63
AT1G30920	0	0	0	0	4	0
AT1G30935	0	0	0	0	2	1
AT1G30940	0	0	1	0	0	0
AT1G30950	0	3	0	0	0	0
AT1G30960	5	10	28	14	12	41
AT1G30970	42	75	112	96	56	134
AT1G30972	0	0	0	0	5	0
AT1G30974	0	0	2	3	1	0
AT1G30980	0	1	0	7	1	0
AT1G30990	0	5	0	0	3	0
AT1G31010	10	4	7	8	12	6
AT1G31020	18	13	15	19	11	23
AT1G31030	0	4	3	0	14	0
AT1G31040	0	3	0	0	7	0
AT1G31060	0	2	0	0	3	0
AT1G31070	24	4	30	16	6	12
AT1G31080	0	0	0	0	2	0
AT1G31100	0	14	0	0	12	0
AT1G31120	6	23	28	23	25	27
AT1G31130	413	452	456	674	602	765
AT1G31150	12	7	8	5	0	4
AT1G31160	25	14	32	11	8	20
AT1G31170	134	88	102	115	47	86
AT1G31173	38	40	35	10	14	12
AT1G31175	7	6	10	2	2	17
AT1G31180	24	46	100	31	21	129
AT1G31190	88	46	148	39	36	104
AT1G31200	0	7	7	2	4	3
AT1G31220	3	10	40	10	19	51
AT1G31230	33	39	95	47	11	58
AT1G31240	0	9	9	1	5	5
AT1G31250	0	3	0	3	1	0
AT1G31258	0	0	0	2	0	1
AT1G31260	0	4	0	0	0	0
AT1G31280	37	35	33	48	30	60
AT1G31290	0	2	1	2	0	5
AT1G31300	56	68	69	66	65	56
AT1G31310	0	7	0	0	9	0
AT1G31320	0	0	2	0	0	0
AT1G31330	14254	12774	15729	9320	4378	12344
AT1G31335	8	7	7	16	3	17
AT1G31340	164	230	346	265	161	493
AT1G31350	54	106	69	68	42	81
AT1G31355	1	4	0	0	0	1
AT1G31360	8	13	8	9	0	7
AT1G31370	0	0	0	0	4	0
AT1G31410	19	30	48	26	2	29
AT1G31420	123	115	189	57	79	108
AT1G31430	0	3	2	0	1	3
AT1G31440	77	58	97	86	52	109
AT1G31450	0	5	0	0	3	0
AT1G31460	10	3	16	6	6	12
AT1G31470	2	3	20	8	3	30
AT1G31480	11	7	12	6	17	23
AT1G31500	17	34	42	29	16	33
AT1G31540	23	23	62	36	25	57
AT1G31550	64	45	205	92	28	144
AT1G31570	0	0	1	2	4	0
AT1G31580	6852	4597	11004	5443	3042	5977
AT1G31600	26	38	34	35	22	40
AT1G31630	0	0	2	2	0	1
AT1G31650	33	43	69	35	28	47
AT1G31660	28	49	81	20	25	83
AT1G31670	0	6	0	0	2	0
AT1G31690	7	14	181	18	7	73
AT1G31710	11	12	42	16	9	33
AT1G31720	0	0	0	1	0	1
AT1G31730	63	106	251	186	75	339
AT1G31740	0	4	0	0	6	0
AT1G31750	11	6	6	4	2	4
AT1G31760	0	6	5	3	0	8
AT1G31770	2	0	18	10	2	18
AT1G31780	110	69	92	110	107	135
AT1G31790	13	4	43	19	16	50
AT1G31800	91	123	132	57	49	64
AT1G31810	97	167	255	119	110	319
AT1G31812	448	336	305	278	143	284
AT1G31814	12	48	10	19	36	8
AT1G31817	26	38	77	31	14	61
AT1G31820	17	13	14	15	7	4
AT1G31830	10	29	25	25	7	28
AT1G31835	4	2	6	9	6	8
AT1G31840	1	3	1	0	0	0
AT1G31850	68	130	164	73	33	116
AT1G31860	16	27	37	23	15	32
AT1G31870	25	60	106	38	32	128
AT1G31880	4	0	6	12	5	3
AT1G31885	0	0	0	0	1	3
AT1G31900	0	0	0	1	0	0
AT1G31910	206	135	424	335	162	667
AT1G31920	25	7	13	1	6	7
AT1G31930	44	57	48	89	54	107
AT1G31935	1	3	2	0	6	1
AT1G31940	31	41	85	42	20	88
AT1G31950	0	13	1	0	12	0
AT1G31970	77	93	228	131	58	218
AT1G31983	0	1	0	0	0	0
AT1G32010	0	3	0	2	2	0
AT1G32030	0	0	0	0	3	0
AT1G32049	0	0	0	0	2	4
AT1G32050	135	113	100	138	76	119
AT1G32060	2696	2861	6080	1635	1245	2530
AT1G32070	229	250	312	157	71	169
AT1G32080	169	178	270	151	48	124
AT1G32090	89	91	140	47	39	81
AT1G32100	22	16	7	24	18	8
AT1G32120	34	21	36	27	14	27
AT1G32130	277	200	186	435	149	332
AT1G32140	0	7	0	0	0	0
AT1G32150	11	5	22	41	15	19
AT1G32160	160	106	206	148	67	171
AT1G32170	41	25	8	52	94	27
AT1G32172	0	51	8	15	56	5
AT1G32180	0	0	0	0	1	0
AT1G32190	14	22	10	9	11	9
AT1G32200	73	67	311	41	37	188
AT1G32210	98	116	100	139	63	146
AT1G32220	114	118	296	89	53	174
AT1G32225	0	0	0	3	2	1
AT1G32230	355	352	436	527	293	666
AT1G32240	4	21	32	17	16	16
AT1G32260	15	14	30	35	14	17
AT1G32270	0	4	0	0	0	0
AT1G32280	0	7	0	0	0	0
AT1G32290	0	2	0	0	0	0
AT1G32300	0	1	0	0	0	0
AT1G32310	9	12	18	11	1	17
AT1G32320	0	4	0	0	2	0
AT1G32330	6	15	43	26	21	46
AT1G32340	47	26	35	41	17	56
AT1G32350	2	9	8	19	36	33
AT1G32360	102	64	142	77	22	135
AT1G32361	0	0	0	0	1	0
AT1G32370	6	14	9	13	1	8
AT1G32380	26	17	67	43	32	62
AT1G32400	168	114	180	129	89	189
AT1G32410	27	30	40	17	16	44
AT1G32415	4	6	9	4	1	3
AT1G32420	0	2	0	0	8	0
AT1G32430	0	0	0	0	2	0
AT1G32440	73	44	165	61	44	167
AT1G32450	21	23	22	4	5	20
AT1G32460	144	127	103	220	129	172
AT1G32470	235	260	336	147	103	172
AT1G32490	40	46	59	44	16	102
AT1G32500	134	128	303	117	53	213
AT1G32505	0	1	0	0	0	0
AT1G32510	0	0	0	0	1	0
AT1G32520	24	22	27	9	6	20
AT1G32530	79	109	117	132	59	169
AT1G32540	94	85	75	115	88	78
AT1G32550	58	66	53	22	7	26
AT1G32560	0	46	0	4	19	1
AT1G32580	101	106	244	139	65	321
AT1G32583	5	6	47	3	5	21
AT1G32600	0	0	1	0	0	0
AT1G32610	2	11	7	8	0	8
AT1G32630	9	23	16	34	8	18
AT1G32640	194	313	490	618	218	1031
AT1G32690	0	11	3	10	23	7
AT1G32700	210	135	336	363	465	506
AT1G32710	0	1	0	3	0	0
AT1G32720	0	13	0	1	0	0
AT1G32730	9	15	6	0	10	7
AT1G32740	8	18	12	2	21	8
AT1G32750	128	154	168	141	88	260
AT1G32760	6	19	21	5	9	8
AT1G32780	6	2	1	0	1	0
AT1G32790	227	154	248	353	176	431
AT1G32850	0	0	0	0	0	1
AT1G32860	81	110	160	93	70	273
AT1G32870	16	96	36	61	56	42
AT1G32900	8	10	12	3	5	3
AT1G32910	0	6	0	3	1	7
AT1G32920	71	46	60	126	195	139
AT1G32928	2	24	28	24	39	46
AT1G32930	0	13	3	0	17	2
AT1G32940	79	41	211	123	99	437
AT1G32950	5	1	7	5	3	22
AT1G32960	6	6	33	51	24	102
AT1G32970	0	1	0	2	4	2
AT1G32975	0	1	0	0	0	0
AT1G32990	492	665	984	449	265	427
AT1G33000	0	5	0	2	5	0
AT1G33020	0	0	0	0	1	0
AT1G33030	5	1	0	10	6	9
AT1G33040	79	91	97	60	37	52
AT1G33050	61	18	41	80	38	54
AT1G33055	5	2	2	7	13	4
AT1G33060	9	13	15	2	10	15
AT1G33070	0	2	0	0	0	0
AT1G33080	7	4	10	1	4	14
AT1G33090	0	2	1	0	6	0
AT1G33100	0	0	0	6	4	0
AT1G33102	0	5	2	0	4	5
AT1G33110	93	51	108	94	54	208
AT1G33120	31	25	23	21	29	34
AT1G33135	0	7	0	6	1	0
AT1G33140	53	89	49	54	64	29
AT1G33170	10	10	36	4	11	7
AT1G33200	0	19	0	2	27	0
AT1G33220	0	0	0	0	5	0
AT1G33230	164	119	130	124	76	143
AT1G33240	211	291	347	131	84	171
AT1G33250	30	34	110	99	37	147
AT1G33260	45	81	57	54	49	46
AT1G33265	12	15	33	10	3	9
AT1G33270	20	18	36	40	14	42
AT1G33280	0	0	0	0	3	0
AT1G33290	45	67	69	56	19	61
AT1G33300	0	24	1	15	36	0
AT1G33320	0	8	2	0	0	0
AT1G33330	10	11	22	13	2	20
AT1G33340	7	2	9	2	3	7
AT1G33350	1	0	7	6	6	5
AT1G33360	36	77	68	70	73	94
AT1G33390	14	13	33	42	31	55
AT1G33400	22	30	17	13	7	16
AT1G33410	18	43	73	28	27	79
AT1G33415	7	3	8	18	4	3
AT1G33420	10	34	40	18	19	52
AT1G33430	3	0	1	0	1	2
AT1G33440	3	8	13	7	3	10
AT1G33460	3	8	1	3	17	0
AT1G33470	49	56	196	79	43	181
AT1G33475	3	0	1	3	2	4
AT1G33480	9	9	21	15	5	15
AT1G33490	37	33	35	19	23	37
AT1G33510	0	2	0	0	11	0
AT1G33520	428	477	303	494	186	360
AT1G33540	0	5	0	0	0	1
AT1G33560	26	25	88	52	19	95
AT1G33570	0	0	0	1	0	0
AT1G33590	244	208	335	454	273	733
AT1G33600	73	86	259	199	139	465
AT1G33610	22	32	29	83	44	206
AT1G33615	0	3	0	4	3	0
AT1G33660	0	0	0	0	1	1
AT1G33680	34	29	121	52	14	168
AT1G33700	2	0	4	4	0	8
AT1G33720	36	10	57	28	13	34
AT1G33730	3	0	2	0	0	2
AT1G33750	0	5	0	1	6	0
AT1G33760	22	4	1	0	0	3
AT1G33770	1	1	3	0	4	4
AT1G33780	54	71	52	54	35	53
AT1G33785	0	15	0	13	25	1
AT1G33790	0	4	0	0	6	5
AT1G33800	1	6	1	13	0	3
AT1G33810	92	130	186	82	15	125
AT1G33811	17	22	81	10	15	37
AT1G33813	0	1	1	0	1	0
AT1G33830	0	0	1	0	3	0
AT1G33840	1	0	2	0	4	1
AT1G33860	0	1	0	0	0	0
AT1G33870	0	2	0	0	6	0
AT1G33880	0	6	0	0	0	1
AT1G33890	0	3	0	0	1	0
AT1G33900	0	0	0	0	1	0
AT1G33930	0	1	1	0	0	1
AT1G33940	0	0	0	0	1	0
AT1G33950	1	0	3	2	0	3
AT1G33960	272	117	305	327	103	473
AT1G33970	234	208	174	291	87	211
AT1G33980	48	32	59	52	18	97
AT1G33990	161	120	155	165	102	189
AT1G34000	537	514	566	362	288	320
AT1G34010	12	38	9	8	7	4
AT1G34020	18	24	81	40	42	104
AT1G34030	41	71	160	67	44	163
AT1G34040	0	1	0	0	3	2
AT1G34041	0	0	0	2	2	0
AT1G34044	1	15	3	6	6	1
AT1G34050	0	2	0	0	1	0
AT1G34060	0	0	3	0	1	0
AT1G34065	2	2	5	0	2	1
AT1G34080	0	0	0	1	0	0
AT1G34090	0	6	0	0	0	0
AT1G34095	0	0	0	0	1	0
AT1G34100	0	1	0	2	1	0
AT1G34110	11	50	27	25	35	19
AT1G34120	22	21	15	15	7	16
AT1G34130	47	69	129	70	39	188
AT1G34140	0	2	0	0	7	0
AT1G34150	10	10	6	15	11	6
AT1G34160	7	28	8	10	10	7
AT1G34170	0	13	0	0	17	0
AT1G34180	0	2	3	2	1	4
AT1G34190	108	141	124	153	75	194
AT1G34200	24	20	57	36	11	79
AT1G34210	36	34	28	27	35	31
AT1G34220	91	71	275	128	74	338
AT1G34245	0	14	0	1	2	0
AT1G34260	37	27	56	44	57	95
AT1G34270	23	23	45	25	29	43
AT1G34281	0	4	0	0	5	0
AT1G34300	55	55	56	81	45	113
AT1G34310	0	8	0	0	3	0
AT1G34320	39	47	82	82	31	97
AT1G34340	20	35	46	69	20	44
AT1G34350	22	14	17	21	2	14
AT1G34355	0	9	3	0	8	0
AT1G34360	6	24	64	26	25	78
AT1G34370	64	63	64	153	87	202
AT1G34380	8	20	31	28	11	30
AT1G34400	0	9	2	7	1	1
AT1G34410	0	0	0	0	2	0
AT1G34418	145	126	265	194	285	263
AT1G34419	1	31	9	9	17	3
AT1G34420	5	5	23	30	7	40
AT1G34430	90	91	322	95	22	175
AT1G34440	0	9	0	0	2	0
AT1G34460	0	3	1	0	0	0
AT1G34470	33	25	26	33	7	26
AT1G34480	1	0	0	1	6	0
AT1G34500	0	1	0	0	5	0
AT1G34520	0	7	0	1	0	0
AT1G34530	0	43	0	4	3	2
AT1G34540	0	5	0	0	0	0
AT1G34550	72	65	89	70	46	102
AT1G34570	17	9	25	19	8	16
AT1G34580	0	1	1	2	5	0
AT1G34590	0	0	0	0	3	0
AT1G34600	0	0	0	2	0	0
AT1G34630	22	15	41	25	18	44
AT1G34640	10	1	6	2	2	1
AT1G34650	0	6	0	0	14	1
AT1G34670	0	6	0	0	1	0
AT1G34680	0	0	0	0	1	0
AT1G34750	67	72	81	154	59	185
AT1G34760	38	48	40	28	10	24
AT1G34770	8	2	3	4	7	0
AT1G34780	30	37	55	53	48	48
AT1G34790	0	3	1	2	11	0
AT1G34842	0	0	0	0	0	1
AT1G34844	1	4	1	0	0	3
AT1G34904	3	0	0	0	0	0
AT1G34910	0	1	0	0	0	0
AT1G35060	0	2	0	0	0	0
AT1G35080	0	0	0	0	3	0
AT1G35110	0	0	0	0	2	0
AT1G35112	4	11	12	8	16	30
AT1G35115	11	7	35	25	6	42
AT1G35140	46	24	25	13	26	36
AT1G35146	0	5	0	0	0	0
AT1G35150	0	3	0	0	1	0
AT1G35160	121	182	252	246	117	319
AT1G35170	0	2	0	0	0	0
AT1G35180	5	16	4	4	14	4
AT1G35186	0	0	0	0	2	0
AT1G35190	27	30	50	30	51	44
AT1G35210	8	6	6	5	17	11
AT1G35220	20	35	28	18	21	36
AT1G35230	215	79	497	255	212	1121
AT1G35255	0	6	0	0	11	1
AT1G35260	0	0	3	4	1	2
AT1G35270	0	1	0	0	0	0
AT1G35280	0	7	3	0	13	0
AT1G35300	0	2	0	0	0	0
AT1G35310	0	4	1	0	0	0
AT1G35320	7	17	3	5	6	6
AT1G35330	0	0	0	0	1	0
AT1G35340	165	167	261	189	156	218
AT1G35350	97	44	81	143	78	114
AT1G35365	0	0	0	0	1	1
AT1G35370	4	13	0	3	8	0
AT1G35380	0	0	0	1	0	0
AT1G35390	0	17	0	1	9	1
AT1G35400	0	1	0	0	0	0
AT1G35405	0	6	0	0	1	1
AT1G35410	0	0	0	0	1	0
AT1G35420	142	121	98	77	28	62
AT1G35430	24	54	22	33	12	35
AT1G35450	0	0	1	0	1	0
AT1G35460	18	15	9	24	13	12
AT1G35470	25	19	16	28	10	21
AT1G35480	0	3	0	0	1	0
AT1G35490	0	0	0	0	6	0
AT1G35510	12	24	26	24	11	23
AT1G35513	5	0	0	0	0	1
AT1G35515	0	9	1	2	10	1
AT1G35516	7	24	6	5	5	4
AT1G35530	0	8	4	0	4	1
AT1G35535	0	5	0	0	0	0
AT1G35540	0	0	1	0	0	0
AT1G35545	0	0	0	0	1	0
AT1G35560	12	17	55	6	0	13
AT1G35580	121	128	141	248	117	249
AT1G35610	0	3	0	0	6	0
AT1G35612	55	36	22	20	16	9
AT1G35617	0	2	1	1	3	0
AT1G35620	103	63	131	54	31	157
AT1G35625	0	4	0	0	0	0
AT1G35645	0	0	0	0	2	0
AT1G35660	16	6	13	8	12	18
AT1G35670	23	17	18	23	19	31
AT1G35680	314	325	1191	226	139	413
AT1G35690	0	7	0	0	5	0
AT1G35700	0	1	0	0	1	0
AT1G35710	165	135	683	218	57	465
AT1G35720	328	325	936	490	256	870
AT1G35730	0	2	0	0	0	0
AT1G35740	0	3	1	1	8	0
AT1G35745	0	0	0	5	0	0
AT1G35760	0	0	1	0	2	0
AT1G35770	0	10	0	2	16	1
AT1G35780	13	18	16	17	13	25
AT1G35790	0	16	2	5	0	1
AT1G35830	23	54	19	24	32	20
AT1G35840	0	4	0	0	0	1
AT1G35850	0	3	0	3	0	0
AT1G35860	0	0	1	0	0	0
AT1G35870	0	0	0	0	1	0
AT1G35880	0	14	0	10	7	0
AT1G35890	0	0	0	3	5	0
AT1G35910	2	13	0	4	1	3
AT1G35930	0	0	0	0	3	0
AT1G35940	0	4	0	0	4	0
AT1G35950	0	0	0	0	0	1
AT1G35960	0	0	0	0	2	0
AT1G35970	5	69	6	19	68	3
AT1G35980	0	0	0	0	0	1
AT1G35990	0	2	0	0	0	0
AT1G35995	0	24	0	0	9	1
AT1G36010	0	19	0	1	0	1
AT1G36035	0	0	0	0	1	0
AT1G36040	0	3	0	1	13	0
AT1G36050	67	60	74	80	44	133
AT1G36060	4	15	0	7	11	1
AT1G36070	40	12	34	26	28	44
AT1G36080	0	15	0	0	7	0
AT1G36090	0	0	1	0	0	0
