idRefSeq	N8	T8	N33	T33	N51	T51
NM_017805	127	59	85	113	649	239
NM_080424	178	83	141	106	349	312
NM_004509	178	83	136	106	342	309
NM_001198	910	426	870	449	1088	1078
NM_198459	563	264	762	441	773	713
NM_152231	613	287	851	518	1029	760
NM_001128429	422	198	918	670	1123	1296
NM_020159	422	198	918	670	1123	1294
NR_002735	18379	5239	69217	68108	36409	17535
NM_001114394	366	431	693	373	944	453
NM_014744	541	137	662	786	1307	628
NM_001134381	529	133	649	792	1279	613
NM_181782	1737	254	1313	1130	1127	540
NM_001122842	1736	254	1313	1121	1127	540
NM_015285	433	321	573	359	1097	525
NM_138468	63	29	87	85	222	106
NM_181489	517	263	575	452	1626	779
NM_173061	1742	1502	1935	1187	3766	1807
NM_001098202	87	82	96	76	837	188
NM_033034	267	70	253	200	412	516
NR_023386	52	83	100	79	266	103
NM_001099432	183	62	407	321	594	392
NM_017679	183	62	407	321	594	391
NM_004241	1162	459	1558	1231	3111	2658
NM_004999	1133	126	2237	1776	1495	1910
NR_024122	231	14	191	151	278	272
NM_014190	1011	443	879	695	2490	1804
NM_001119	1009	443	879	695	2485	1804
NM_006345	960	297	806	636	1393	1318
NM_002731	153	72	263	57	681	888
NM_001135167	2917	1379	1899	4880	457	58
NM_031892	126	59	141	115	580	191
NM_134446	389	183	323	387	1642	499
NM_013398	54	25	108	61	199	188
NM_175920	805	380	1078	607	1992	1100
NM_178585	284	134	380	255	846	528
NM_022133	175	82	286	147	236	475
NR_002560	6067	14534	48599	23628	28235	13686
NM_001134380	520	135	654	770	1255	606
NM_006656	108	37	88	126	453	219
NM_020689	379	228	576	254	467	226
NM_002439	202	151	341	248	598	289
NM_001080477	108	51	247	142	1094	1326
NR_002436	3167	1507	45540	15162	18297	19245
NM_020428	680	324	707	657	2275	820
NM_001077700	494	235	839	655	1227	1365
NM_014799	102	48	113	165	432	183
NM_005509	1218	579	1770	961	2451	1250
NM_015147	633	300	632	664	1828	693
NM_000203	62	29	78	79	217	93
NM_003239	260	114	293	234	2469	1210
NM_020733	878	821	1074	858	5837	1934
NM_003003	185	188	205	163	803	345
NM_005547	7221	1352	3716	2958	4406	4262
NM_020964	786	436	1170	935	2509	1179
NM_001556	734	232	920	734	2096	1388
NM_019022	486	292	848	674	1458	671
NM_013367	238	113	399	317	513	681
NM_001002844	52	24	78	62	148	169
NM_022808	163	45	376	381	636	310
NM_022805	163	45	376	381	636	310
NM_022807	163	45	376	381	636	310
NM_022806	163	45	376	381	636	310
NM_003097	178	46	405	400	656	319
NM_005678	178	46	405	400	656	319
NM_173042	81	30	133	166	415	202
NM_014467	191	38	140	247	848	414
NM_004099	1677	440	1336	1636	6539	3188
NM_015183	2502	1128	2206	1882	2373	1159
NM_177926	137	46	128	204	351	170
NM_001005463	52	4	112	101	378	183
NM_001130721	173	8	100	200	209	101
NM_022343	141	67	163	231	848	280
NM_001102420	867	415	1461	748	3246	2595
NM_017830	333	159	628	420	708	938
NM_138434	66	31	103	258	263	67
NM_007030	181	86	760	669	463	98
NM_024612	264	126	251	158	448	403
NM_000581	66	31	66	153	350	121
NM_207047	376	180	306	525	1006	423
NM_024759	228	109	365	83	371	875
NM_001114138	201	96	108	120	384	114
NM_016173	336	161	344	245	719	355
NM_138807	133	63	87	173	214	94
NM_001978	203	97	108	121	398	121
NM_001017920	133	4	84	67	83	84
NM_032777	447	243	322	259	3225	552
NM_001128424	251	156	554	445	3442	1294
NM_012198	70	39	145	116	419	164
NM_058172	198	73	189	152	1198	857
NM_006058	720	601	976	784	3067	964
NM_006009	103	37	140	112	624	357
NM_006200	214	148	265	213	829	283
NM_023075	91	64	114	91	221	87
NM_018130	75	18	122	98	263	133
NM_000386	647	194	464	372	560	299
NM_003089	778	1258	1271	1021	2469	1088
NM_001039375	51	33	75	60	141	64
NM_001002010	51	18	60	48	82	50
NM_003428	243	112	342	274	586	539
NM_001127372	243	112	342	274	587	539
NM_001101311	86	41	147	174	1264	258
NM_001101312	86	41	143	174	1245	257
NM_001007527	218	105	283	225	435	317
NM_012213	140	67	132	166	284	126
NM_003840	90	43	63	168	392	122
NM_145040	50	77	75	60	633	310
NM_170722	413	54	299	458	790	386
NM_198194	1422	365	1119	1333	5634	2755
NM_153354	81	107	209	127	168	82
NM_001042698	56	56	118	92	211	103
NM_004848	67	32	87	153	652	142
NM_182721	75	36	69	72	324	125
NM_001025390	352	170	619	505	2031	855
NM_016009	1160	562	1231	711	4432	2445
NM_015559	579	281	387	647	1165	352
NM_020654	205	99	473	284	673	386
NM_016406	135	65	360	262	402	238
NM_152609	320	155	714	453	808	484
NM_015057	4297	2092	4551	2655	6911	5603
NM_018343	96	46	102	75	245	143
NM_006277	1186	577	1144	850	2088	1206
NM_019595	1184	575	1144	850	2080	1206
NM_001114137	201	97	108	120	394	114
NM_001114135	201	97	108	121	396	119
NM_001018020	532	277	1104	499	4169	2057
NM_024776	916	383	832	720	4189	2064
NM_001007231	107	27	143	118	433	213
NM_001042724	363	144	188	298	884	435
NM_001656	122	112	243	74	387	191
NM_006594	136	128	194	152	380	187
NM_006502	315	143	299	307	663	328
NM_003879	690	431	865	697	2597	1216
NM_005775	238	246	226	182	824	235
NM_020755	1050	429	1689	1364	3697	3100
NM_015336	239	62	402	325	804	488
NM_003100	515	245	527	425	892	456
NM_001130911	103	21	171	138	293	169
NR_024123	223	14	183	148	278	270
NM_198279	117	32	181	146	258	193
NM_014726	115	156	102	82	530	187
NM_014773	498	276	531	430	1511	394
NM_001083536	203	107	231	186	1181	421
NM_001130687	142	52	135	194	881	437
NM_020854	1284	587	1812	1717	1956	971
NM_018157	75	49	143	72	310	154
NM_016290	226	180	325	254	575	285
NM_001042446	2479	1930	2835	1778	4847	2418
NM_001042445	2533	1961	2858	1803	4898	2436
NM_001042441	2611	1993	2911	1831	5019	2502
NM_001042443	2541	1976	2868	1825	4916	2448
NM_173060	2537	1975	2865	1825	4905	2446
NM_001042442	2661	2023	2931	1856	5059	2518
NM_173063	2657	2009	2924	1834	5052	2508
NM_001750	2665	2024	2934	1856	5070	2520
NM_001025	835	498	930	608	1425	706
NM_198484	268	120	282	345	726	360
NM_001127891	1734	845	1294	1144	22588	4275
NM_006007	847	413	1430	738	3182	2537
NM_001102421	848	413	1430	738	3183	2537
NM_022717	95	46	102	106	181	83
NM_001200	122	59	150	326	420	192
NM_001077195	657	321	451	326	1455	1237
NM_002078	2336	1145	2570	1759	4676	2674
NM_152836	169	82	277	147	233	466
NM_152837	169	82	273	145	230	464
NM_002647	301	147	459	330	707	402
NM_018374	487	237	1086	854	1420	1449
NM_001101314	78	38	112	160	1041	218
NM_001101313	84	41	155	174	1259	262
NM_001077242	64	31	183	37	57	191
NM_022141	70	34	79	75	447	86
NM_001957	143	70	273	122	545	617
NM_020948	496	243	839	655	1234	1367
NM_014887	587	288	957	457	1240	907
NM_001040697	109	53	155	110	302	367
NM_152516	60	29	40	50	162	70
NM_001012958	80	39	84	96	376	71
NM_182975	76	37	144	46	166	121
NM_207043	397	195	317	487	1016	435
NM_207044	397	195	317	487	1016	433
NM_207336	64	31	58	60	236	87
NM_031305	70	34	151	140	269	125
NM_001134232	483	237	1083	851	1410	1447
NM_001300	1603	790	1547	928	1671	1505
NM_021237	115	56	232	171	210	161
NM_016613	251	157	541	441	3470	1300
NM_145058	67	104	75	61	272	132
NM_003810	492	166	773	630	834	2291
NM_014435	53	28	68	55	228	55
NM_014903	104	32	86	70	431	451
NM_138335	51	15	116	94	169	202
NM_001042669	70	29	162	132	268	140
NM_003630	197	54	202	164	243	242
NM_019040	83	36	107	87	187	222
NM_024618	563	93	429	567	1067	535
NM_032373	383	188	518	641	1119	560
NM_001964	8739	2844	7041	6357	2814	1410
NM_000884	928	242	615	823	1433	719
NM_178154	59	57	114	92	375	187
NM_207325	98	78	177	137	608	304
NM_000387	57	28	95	64	236	118
NM_020171	192	72	159	155	512	256
NM_000375	96	117	158	91	298	149
NM_001085400	459	254	517	358	1421	713
NM_032812	415	87	543	682	1216	607
NM_019555	344	163	394	373	585	293
NM_015832	165	239	259	192	375	187
NM_001042444	2483	1944	2842	1800	4854	2428
NM_001042440	2607	1992	2908	1831	5008	2500
NM_001130048	2828	2133	3083	2024	4895	2446
NM_000481	58	27	115	100	198	99
NM_016479	1565	354	982	1403	2518	1258
NM_001032409	221	102	169	138	188	321
NM_006851	105	45	125	102	441	1056
NM_001001660	64	13	94	77	108	145
NM_153358	162	68	245	201	348	405
NR_003012	236	1222	3128	2560	1921	834
NM_182916	207	110	279	229	449	167
NM_177969	125	172	241	197	399	177
NM_000140	143	276	181	148	399	144
NM_001012515	143	276	181	148	399	144
NM_001040659	124	20	142	116	311	268
NM_001040658	124	20	142	116	311	268
NM_020371	55	46	88	72	258	113
NM_001040657	127	30	154	126	326	280
NM_022905	127	30	154	126	326	280
NR_002569	1274	630	23262	3617	5498	4120
NM_001077703	168	83	321	257	445	472
NM_001135860	128	63	118	158	297	120
NM_014716	94	46	131	125	500	92
NM_004333	94	46	134	94	246	233
NM_004090	1018	504	758	678	3217	1428
NM_014720	2644	1307	3571	2107	3934	4947
NM_016038	104	51	130	102	520	261
NM_198489	114	56	186	124	255	152
NM_147152	1030	511	1035	760	1726	1002
NM_014824	307	89	291	339	1353	682
NM_020941	315	250	558	452	1467	737
NM_001037806	315	250	558	452	1467	737
NM_016621	659	233	674	584	1413	710
NM_001042646	466	257	957	657	1155	582
NM_015296	2841	2244	3090	2038	4864	2446
NM_006531	51	38	154	103	235	118
NM_030885	312	94	283	250	1043	524
NM_004532	101	50	27	52	111	18
NM_004221	121	60	301	322	3066	458
NM_004530	1889	940	1408	1294	24612	4633
NM_006208	89	44	56	127	294	132
NM_139160	63	31	179	34	58	190
NM_015683	143	71	110	257	880	277
NM_006540	668	334	995	597	1346	1560
NM_001134432	125	62	144	130	278	129
NM_001134433	125	62	144	130	278	129
NM_021008	183	91	139	253	482	208
NM_000620	236	117	269	1225	81	11
NM_201397	87	43	90	187	376	129
NM_172197	67	33	69	62	262	91
NM_181526	146	73	245	202	1349	502
NM_001977	73	76	90	74	535	145
NM_001398	289	187	300	248	507	148
NM_003135	75	37	62	51	82	79
NM_032592	105	79	152	125	364	111
NM_032320	151	56	201	166	302	485
NM_006064	102	41	161	133	236	137
NM_000159	95	166	184	152	334	129
NM_016656	102	41	161	133	240	137
NM_020731	170	47	92	76	55	38
NM_183050	89	20	188	155	171	144
NM_014904	239	101	373	308	812	496
NM_002880	685	360	668	552	1851	769
NM_018121	527	244	845	695	1693	1216
NM_004786	116	78	206	170	257	119
NM_033086	201	107	226	186	1174	411
NM_001099669	78	33	81	88	300	152
NM_014056	78	33	81	88	300	152
NM_181882	72	43	55	27	190	96
NM_001040455	261	172	242	164	803	406
NR_002739	2222	2903	42211	27080	10423	5305
NM_000112	540	328	846	272	1508	767
NM_006185	3760	1423	3307	3328	8879	4517
NM_001101800	352	254	814	438	1069	544
NM_016603	354	254	816	442	1075	544
NM_002435	170	68	173	237	835	424
NM_001010862	99	16	134	233	284	144
NM_004899	248	112	240	371	591	299
NM_017651	308	180	423	211	692	350
NM_001122890	343	172	236	906	347	82
NM_001944	18681	9409	16382	12102	20767	15966
NM_005575	805	404	1088	620	2049	1114
NM_001988	6091	3068	4908	4616	3654	1804
NM_000877	743	374	314	845	5977	2070
NM_005120	594	298	630	919	1629	808
NM_007167	238	119	469	325	604	610
NM_014283	882	442	1270	618	1101	1834
NM_001068	1486	748	1651	965	2463	1476
NM_001012506	103	21	166	138	284	163
NM_001008660	1433	698	2114	1755	4836	4986
NM_006816	654	536	583	483	1148	394
NM_003704	417	155	366	304	888	619
NM_018362	687	325	1046	871	871	1307
NM_207381	135	85	106	88	421	74
NM_001136123	397	162	582	483	1034	847
NR_003193	1524	2126	20054	8602	7607	3887
NM_018717	384	308	336	218	494	252
NM_000885	108	212	220	92	764	391
NM_147127	130	30	125	174	408	208
NM_178156	51	35	95	77	329	168
NM_019050	778	547	1181	493	1823	932
NM_001101802	690	233	690	603	1434	734
NM_015324	190	58	121	121	413	211
NM_024334	1268	621	1170	1273	2935	1497
NM_024596	224	156	325	225	477	243
NM_006031	1571	1619	1475	1207	4252	2179
NM_001037442	510	153	579	498	1144	586
NM_001134830	292	179	413	207	679	347
NM_199192	242	102	236	369	574	293
NM_199193	242	102	236	369	574	293
NM_199191	241	102	236	369	570	291
NM_199194	241	102	236	369	570	291
NM_175605	52	39	156	110	236	120
NM_001098414	265	118	274	342	700	357
NM_001130684	247	125	215	260	1363	674
NM_182720	72	36	63	70	324	124
NM_182717	72	36	63	70	325	124
NM_006120	171	86	315	288	768	376
NM_002906	511	258	633	420	1091	1001
NM_001038	1304	658	975	1427	1303	497
NM_012239	78	39	194	135	319	288
NM_001077203	196	99	466	275	657	380
NM_139276	3884	1970	1941	3069	10231	4883
NM_016227	872	442	1265	613	1093	1823
NM_019006	106	32	165	138	357	416
NM_005671	54	39	90	75	113	31
NM_001040001	3556	566	3482	2906	4646	2870
NM_144618	115	32	189	158	261	152
NM_006378	499	323	478	399	1146	372
NM_001031677	199	285	308	257	774	234
NM_032091	115	1	80	67	330	177
NM_025132	134	59	256	214	519	501
NM_015239	314	193	519	435	936	428
NM_001135021	129	55	166	139	353	188
NM_007286	901	458	466	956	3765	1539
NM_138297	99	50	25	51	107	18
NM_001031749	142	72	60	110	860	228
NM_182573	142	72	60	110	828	226
NM_002292	2602	1330	1864	1769	10587	3014
NM_206855	1087	555	1236	1227	4991	1621
NM_003501	394	200	516	294	760	437
NM_001128616	335	170	395	377	581	294
NM_003150	3852	1969	1938	3063	10186	4853
NM_001043353	482	246	446	323	1017	649
NM_014296	329	167	457	323	600	363
NM_181741	154	78	256	201	253	336
NM_005190	344	175	441	365	572	890
NM_020928	457	232	531	354	1037	566
NM_002552	154	78	260	203	253	341
NM_001024680	58	29	65	44	97	83
NM_007067	336	171	341	269	468	367
NM_001111039	94	63	166	69	286	147
NM_001023560	94	63	167	70	289	148
NM_002298	498	212	575	839	2077	1067
NM_033554	797	259	789	819	3263	1684
NM_020133	152	96	245	165	982	505
NM_001077199	768	541	1176	941	1502	771
NR_024031	123	67	139	115	121	62
NM_001134831	315	184	427	212	692	356
NM_032097	60	3	44	98	216	111
NM_138822	737	147	739	624	2689	1583
NM_004510	155	52	128	108	278	282
NM_138766	752	147	749	630	2712	1608
NM_007166	1464	729	2159	1821	4891	5105
NM_138972	332	168	315	266	1027	815
NM_014758	1002	496	822	691	2854	2127
NM_181742	148	74	237	199	246	320
NM_033449	289	186	262	221	661	257
NM_001104925	322	108	531	447	1283	972
NM_000056	75	14	113	95	100	63
NM_001013399	328	149	413	347	538	851
NM_001136051	753	376	1306	1102	917	1966
NM_017998	54	22	68	57	128	94
NM_001134368	94	76	181	152	274	72
NM_001012636	112	57	289	308	2803	420
NM_153338	335	172	226	872	335	80
NM_002413	139	71	246	170	186	148
NM_144698	434	222	293	486	298	90
NM_201267	541	277	393	1174	1146	513
NM_018534	542	277	393	1181	1148	514
NM_201264	379	194	265	763	804	339
NM_213662	3771	1939	1890	3002	10102	4802
NM_001101667	387	198	488	292	734	430
NR_004380	62098	73284	581364	365430	205994	106640
NM_005114	86	0	24	53	51	26
NM_001011885	468	159	577	702	1751	907
NM_000107	281	109	290	311	468	243
NM_001135920	385	105	442	564	1002	518
NM_032145	431	213	454	415	1611	834
NM_024900	113	58	93	156	291	104
NM_001130448	127	65	54	49	88	11
NM_018178	392	202	533	394	611	782
NM_015312	1861	963	2383	1636	4155	4349
NM_152265	53	27	107	79	103	141
NM_001136497	53	27	107	79	103	141
NR_024350	53	27	107	79	103	141
NM_006145	1371	709	1105	836	1626	2600
NM_016531	1116	577	1042	808	2099	2503
NM_003363	534	276	711	798	1657	804
NM_001099668	76	33	79	92	287	149
NM_032523	163	58	147	188	158	82
NR_001457	8656	12642	147446	66325	65471	34288
NM_004078	671	524	975	728	1479	772
NM_001101801	336	254	797	412	1011	527
NM_178155	51	35	100	77	338	176
NM_004270	91	99	97	70	156	81
NM_001100816	90	99	94	68	152	79
NM_025238	495	159	613	733	1815	949
NM_001127714	1076	452	776	926	1056	551
NM_024503	1084	452	776	926	1061	552
NM_020734	253	78	436	373	594	310
NM_020232	137	80	190	140	237	123
NM_020829	680	197	726	967	1742	911
NM_139168	746	484	1103	916	1430	744
NM_181738	76	74	96	73	116	60
NM_080680	64	60	52	21	95	49
NM_018011	936	958	1434	814	1923	1003
NM_015360	583	603	861	601	1196	626
NM_000925	223	327	418	291	634	330
NR_003073	1018	494	2580	3440	2145	1119
NM_002534	184	88	156	132	172	305
NM_207584	87	26	90	76	280	205
NM_000874	88	26	91	77	280	208
NM_001008397	100	33	117	99	769	511
NM_177401	1555	1499	1165	989	2420	1013
NM_001014794	229	56	347	295	852	579
NM_001204	1692	618	1667	1419	5186	3991
NM_006225	393	155	386	328	392	263
NM_001018003	192	233	151	128	629	197
NM_198859	654	89	561	477	1456	780
NM_198580	206	171	166	141	619	216
NM_052936	100	5	84	71	190	240
NM_004034	729	360	858	729	1435	1525
NM_012124	68	25	59	50	104	186
NM_001135037	348	389	408	346	1138	549
NM_022762	494	278	367	312	621	170
NM_002103	896	672	768	651	2462	979
NM_001130682	243	126	218	254	1360	678
NM_001130685	243	126	208	250	1333	673
NM_031862	1210	631	986	687	2959	2633
NM_031307	49	25	63	49	109	100
NM_001017524	74	38	183	130	300	277
NM_203284	170	88	280	285	562	267
NM_001130860	105	54	109	172	458	193
NM_138737	105	54	111	165	448	186
NM_001098791	276	143	138	326	1174	388
NM_001098790	296	154	140	343	1247	410
NM_006416	93	48	198	122	289	229
NM_002616	503	262	356	541	1901	599
NM_199443	526	273	703	785	1627	789
NM_001572	127	113	73	37	571	299
NM_024312	440	206	675	882	1590	836
NM_176071	413	73	220	251	573	301
NM_002631	1728	900	1071	1266	1606	844
NM_001114393	336	368	623	303	818	431
NM_006925	822	575	1658	850	1679	881
NM_001039465	836	594	1682	867	1721	902
NM_018403	528	146	469	502	1065	559
NM_080679	63	60	52	21	94	49
NM_080681	63	60	52	21	94	49
NM_001002031	235	84	239	310	472	247
NM_002504	593	170	661	1215	1416	745
NM_001130050	1780	1551	1879	1342	2950	1554
NM_181705	274	288	452	318	530	278
NM_005223	86	111	115	90	218	114
NM_017615	93	55	210	113	219	115
NM_005252	9125	2088	8262	7038	3440	2683
NM_016442	382	201	523	446	1329	661
NM_014488	116	35	110	94	203	177
NM_020704	159	141	151	129	1142	578
NM_000919	784	165	781	666	2820	1709
NM_001130964	394	155	388	332	418	265
NM_001080494	103	64	75	64	190	37
NM_130781	190	272	298	254	751	229
NM_001156	713	360	852	729	1377	1520
NM_001079872	690	326	1041	889	1362	1702
NM_152540	265	108	284	243	477	520
NM_014041	133	20	144	123	220	153
NM_005927	390	414	459	391	1223	620
NR_024152	397	417	459	391	1235	623
NM_001113511	298	193	313	267	915	433
NM_005734	2598	764	1994	1708	6322	3838
NM_198951	159	83	78	107	2752	293
NM_000856	243	127	219	254	1367	680
NM_014806	452	237	451	183	2309	1399
NM_016281	188	98	314	234	667	536
NM_031858	1220	639	997	692	2974	2646
NM_005899	1219	637	995	695	2971	2657
NM_005658	172	90	244	407	1339	494
NM_003651	1162	610	1003	917	2595	912
NM_001128928	176	92	189	144	298	177
NM_003478	621	326	929	731	1296	1234
NM_004031	127	117	78	37	577	305
NM_021133	172	76	162	143	467	247
NR_002564	95410	181223	394803	209376	249091	131438
NM_001113411	62	25	136	130	235	124
NM_018291	62	25	136	130	235	124
NM_022840	107	48	161	323	280	148
NM_173797	338	381	635	311	831	440
NM_001007073	75	28	130	114	148	78
NM_001024855	105	59	157	50	312	165
NM_004148	137	59	151	712	509	269
NM_018249	701	253	705	1268	1901	1006
NM_147133	470	128	553	975	1162	613
NM_012335	149	78	200	258	1775	296
NM_016061	454	240	915	517	1126	1550
NM_001127399	454	240	922	520	1128	1555
NM_000155	84	44	203	167	154	134
NM_012156	1549	817	622	1910	1018	238
NM_002670	103	54	110	176	53	14
NM_138325	75	39	62	58	426	58
NM_012081	1712	904	1755	1116	2346	2547
NM_138973	316	166	307	251	982	798
NM_152357	73	38	186	103	184	287
NM_001080497	588	309	789	529	1005	942
NM_001135729	911	481	680	764	2705	938
NM_024106	167	88	368	126	506	299
NM_004788	906	478	1242	840	2562	2086
NM_198055	151	79	183	170	415	137
NM_003747	747	393	934	812	2178	1156
NM_001136	69	36	78	78	284	96
NM_004808	94	49	96	66	119	102
NM_031458	935	266	948	817	1491	2205
NM_003730	92	74	140	120	282	124
NM_001136042	99	153	136	117	414	173
NM_153486	90	88	71	61	60	17
NM_144626	51	24	56	48	116	67
NM_004740	556	396	393	337	1370	661
NM_014159	1671	812	1671	1439	3081	1804
NM_002567	810	512	943	813	1282	607
NM_145735	293	191	310	267	914	430
NM_022841	760	108	805	694	1089	1068
NM_015323	361	65	672	577	927	941
NM_004029	125	104	69	35	556	295
NM_176072	419	78	222	259	584	311
NM_138357	282	175	468	284	1225	651
NM_001127236	496	291	711	514	1026	548
NM_001011649	671	230	668	1195	1812	968
NM_005051	785	361	803	715	1615	860
NM_014746	197	49	214	341	1553	828
NM_173694	292	79	228	356	765	407
NM_014939	551	524	946	684	1499	800
NM_147134	443	106	465	841	1099	587
NM_014871	390	118	679	786	1142	608
NM_001127460	385	118	670	778	1141	607
NM_004716	536	201	490	584	1063	565
NM_020690	2200	1489	2875	2107	4039	2150
NM_020345	62	65	76	62	189	100
NM_001130049	1793	1662	1886	1356	2919	1554
NM_000397	226	120	381	655	1600	546
NM_001012631	123	65	307	322	3135	472
NM_032208	818	435	1060	646	3051	1963
NM_003387	372	197	318	312	1906	873
NM_001025604	149	79	106	263	838	267
NM_006700	393	208	423	303	799	488
NM_001079839	355	188	695	451	778	1001
NM_001007228	219	116	217	116	551	424
NM_001007226	219	116	217	116	553	424
NM_001007227	219	116	217	116	553	424
NM_003563	219	116	217	116	551	424
NM_001007230	219	116	217	116	553	427
NM_001007229	219	116	217	116	551	427
NM_206854	1039	551	1202	1202	4906	1579
NM_024635	208	110	374	264	440	587
NM_001127511	775	412	939	489	1482	849
NM_006536	5251	2785	4380	3616	5849	25590
NM_014170	63	33	89	66	101	93
NM_020651	794	421	1227	587	1225	1174
NM_018114	153	81	111	193	405	215
NM_138485	59	31	79	66	90	88
NM_004073	487	258	691	988	877	405
NM_003255	1051	633	950	824	6255	1957
NM_004385	1633	952	1216	1053	20414	6063
NM_001103175	776	526	581	504	786	129
NM_004230	83	66	80	69	562	192
NM_021980	488	231	559	484	1119	821
NM_005428	69	37	121	105	512	90
NM_138821	720	151	742	643	2671	1625
NM_003931	152	44	318	275	272	341
NM_001024935	146	44	311	269	265	341
NM_152419	662	197	552	479	2310	2228
NM_014366	808	435	966	834	1351	622
NM_001024934	152	44	317	275	270	341
NM_001024936	146	44	310	269	263	341
NM_000031	395	150	575	497	823	492
NM_003268	111	47	125	108	207	119
NM_020156	143	31	329	285	259	427
NM_015227	132	181	239	207	908	386
NM_003588	660	289	982	848	1257	1636
NM_052875	453	239	366	316	1125	702
NM_001048200	2586	756	1977	1708	6302	3823
NM_007056	141	131	303	263	423	184
NM_014020	85	45	143	171	1251	259
NM_015916	126	67	116	118	444	194
NM_020931	98	52	132	55	187	164
NM_139201	210	112	224	173	488	270
NM_001359	139	74	226	146	234	299
NM_015874	165	88	274	258	527	227
NM_000899	569	305	585	491	1662	1491
NM_003994	565	303	582	485	1653	1461
NM_018976	5910	3153	11560	9038	10185	23063
NM_014045	2260	1211	1071	1304	4220	1717
NM_177996	1535	819	623	1895	1011	238
NM_206825	820	439	971	846	1367	639
NM_206826	787	422	951	829	1308	590
NM_021242	317	169	149	366	1315	441
NR_024084	273	146	231	248	678	325
NM_024632	273	146	230	248	678	325
NM_003422	117	62	154	154	330	120
NM_004635	660	353	436	547	2005	517
NM_012235	842	449	675	902	1743	606
NM_017744	128	68	194	124	304	292
NM_033481	515	275	683	440	973	585
NM_001105518	57	30	108	90	213	202
NM_002564	417	78	220	259	571	305
NM_001024380	90	100	156	123	423	227
NM_001079811	115	61	85	185	405	217
NM_000206	66	25	93	132	301	161
NM_032427	318	49	425	400	1174	628
NM_005911	1208	612	1265	1452	1918	1032
NM_006178	251	238	281	201	787	422
NM_004277	144	89	129	87	265	142
NM_201412	273	314	394	331	801	429
NM_033288	174	3	197	199	483	258
NM_001110798	157	197	158	63	199	106
NM_017747	2187	1462	2832	2056	3957	2123
NM_032575	93	194	94	82	331	125
NM_001230	208	94	256	223	657	372
NM_000635	71	173	231	201	273	98
NM_001045557	90	55	62	54	510	109
NM_001114752	322	190	774	676	962	366
NM_000574	322	190	774	676	961	366
NM_006471	493	164	921	804	1288	773
NM_023105	453	334	343	299	1830	418
NM_023106	453	334	343	299	1830	417
NM_025224	61	161	91	79	504	141
NM_198400	497	191	560	488	1947	1123
NM_000051	1073	346	1570	1366	3747	2439
NM_018660	1113	1271	865	757	1239	648
NM_005474	640	705	757	662	1959	1020
NM_001113512	290	188	307	267	910	420
NM_018261	436	143	708	618	886	904
NM_003899	544	422	723	630	2024	862
NM_178237	436	143	708	618	886	904
NM_000404	118	63	93	188	424	222
NM_006462	399	215	302	835	865	399
NM_018370	105	56	75	123	789	192
NM_201626	319	172	517	238	824	744
NM_005230	308	165	344	242	1188	830
NM_001077702	170	91	321	257	452	474
NM_002648	1990	1069	2035	742	3146	2168
NM_003452	133	71	153	73	330	242
NM_205836	436	234	593	345	1027	654
NM_001386	884	475	889	1220	4109	902
NM_016551	556	300	596	514	821	895
NM_018947	299	161	474	310	309	286
NM_207647	92	49	131	143	383	198
NR_003929	99	53	111	48	193	214
NM_006298	341	183	304	223	753	577
NM_030634	625	336	422	330	1320	1232
NM_001024947	255	137	346	271	621	670
NM_030799	255	137	344	271	620	667
NM_003827	447	240	503	437	1086	681
NM_138728	127	68	194	124	295	285
NM_015989	321	173	486	615	888	440
NM_078473	97	111	158	108	417	225
NM_021135	314	76	216	203	1710	926
NM_016006	388	276	408	350	919	497
NM_080597	284	105	429	624	828	446
NM_022899	198	25	233	214	478	258
NM_001042697	69	56	128	103	228	123
NM_020909	136	128	164	95	496	267
NM_033428	80	20	144	268	227	122
NM_172349	2111	1439	1732	1268	4585	2484
NM_022455	2176	1511	1812	1344	4758	2571
NM_006497	92	82	100	88	867	194
NM_005497	111	82	99	87	728	254
NM_001008211	517	261	579	508	1165	845
NM_001008213	511	261	579	508	1163	844
NM_001008212	511	261	579	508	1163	844
NM_134433	70	173	229	201	271	98
NM_004517	239	56	351	308	878	595
NM_013312	328	161	466	410	556	389
NM_001100176	328	161	466	410	556	389
NR_024071	398	162	392	345	431	268
NM_001012	201	216	299	262	383	196
NM_002519	253	111	499	438	786	788
NM_022913	663	553	996	872	1630	862
NM_001127235	663	555	1000	876	1631	868
NM_016609	104	231	136	119	319	148
NM_138971	341	177	314	276	998	824
NR_000025	5404	2135	11644	10250	10232	14851
NM_015074	944	1152	1212	1065	3572	1828
NM_001015053	641	709	757	666	1959	1020
NM_004136	805	404	1068	939	1711	1406
NM_198076	97	23	114	100	208	120
NM_153332	181	81	164	144	316	211
NM_130472	454	364	498	436	1583	841
NM_001135944	454	364	498	436	1578	838
NM_130474	453	364	495	435	1575	835
NM_130471	454	365	498	436	1583	841
NM_001135943	453	367	498	436	1586	839
NM_000249	208	66	300	263	709	395
NM_018257	327	110	539	474	1306	995
NM_001113513	550	420	723	635	2021	854
NM_001024924	450	150	722	635	903	930
NR_024171	1314	765	1712	1507	3163	1591
NM_001012635	106	57	253	258	2512	384
NM_182853	71	38	63	76	335	129
NM_203382	58	31	143	116	223	281
NM_014974	246	133	329	276	1161	780
NM_014308	84	45	61	131	703	119
